### Module positions - created on 2022-05-02 10:06
### Printed by pcb_positions plugin
## Unit = mm, Angle = deg.
## Pcb Height 262.302mm, Pcb Width 344.834mm [based on Edge bounding box]
## Side : top
## Board Aux Origin: 0.000mm ,0.000mm
# Ref         Val                 Package                       PosX       PosY       Pin1_PosX  Pin1_PosY    Rot     Side      Type
L17           SK6812MINI_LED      YS-SK6812MINI-E               26.0600    88.3262    28.5600    89.0762       0.0    top       THD
ENC5          Rotary_Encoder_Sw.. RotaryEncoder_EC11            -5.9000    92.9312    0.0000     0.0000        0.0    top       THD
SW30          SW_Push             CherryMX_Hotswap              -127.9250  141.9250   -135.0100  144.4650      0.0    top       THD
L21           SK6812MINI_LED      YS-SK6812MINI-E               16.2600    78.5862    18.7600    79.3362       0.0    top       THD
SW56          SW_Push             CherryMX_Hotswap              -323.2250  222.0250   -330.3100  224.5650      0.0    top       THD
L25           SK6812MINI_LED      YS-SK6812MINI-E               34.5000    94.1262    37.0000    94.8762       0.0    top       THD
SW55          SW_Push             CherryMX_Hotswap              -181.0250  242.3250   -188.1100  244.8650      0.0    top       THD
SW25          SW_Push             CherryMX_Hotswap              -363.6250  181.6250   -370.7100  184.1650      0.0    top       THD
L42           SK6812MINI_LED      YS-SK6812MINI-E               26.0600    92.9862    28.5600    93.7362       0.0    top       THD
ENC3          Rotary_Encoder_Sw.. RotaryEncoder_EC11            -5.9000    77.6812    0.0000     0.0000        0.0    top       THD
L38           SK6812MINI_LED      YS-SK6812MINI-E               60.5300    118.6962   63.0300    119.4462      0.0    top       THD
L37           SK6812MINI_LED      YS-SK6812MINI-E               -64.0500   -3.2238    -61.5500   -2.4738       0.0    top       THD
SW8           SW_Push             CherryMX_Hotswap              -350.2250  111.0250   -357.3100  113.5650      0.0    top       THD
SW53          SW_Push             CherryMX_Hotswap              -303.0250  181.6250   -310.1100  184.1650      0.0    top       THD
SW63          SW_Push             CherryMX_Hotswap              -363.6250  201.8250   -370.7100  204.3650      0.0    top       THD
SW21          SW_Push             CherryMX_Hotswap              -196.6250  222.1250   -203.7100  224.6650      0.0    top       THD
L51           SK6812MINI_LED      YS-SK6812MINI-E               -33.9400   34.9962    -31.4400   35.7462       0.0    top       THD
ENC1          Rotary_Encoder_Sw.. RotaryEncoder_EC11            -26.1000   57.4812    0.0000     0.0000        0.0    top       THD
L61           SK6812MINI_LED      YS-SK6812MINI-E               4.8100     67.9962    7.3100     68.7462       0.0    top       THD
SW34          SW_Push             CherryMX_Hotswap              -330.0250  70.6250    -337.1100  73.1650       0.0    top       THD
SW48          SW_Push             CherryMX_Hotswap              -309.8250  111.0250   -316.9100  113.5650      0.0    top       THD
SW19          SW_Push             CherryMX_Hotswap              -350.2250  90.8250    -357.3100  93.3650       0.0    top       THD
L35           SK6812MINI_LED      YS-SK6812MINI-E               -4.2500    55.7762    -1.7500    56.5262       0.0    top       THD
L12           SK6812MINI_LED      YS-SK6812MINI-E               -45.7000   16.9762    -43.2000   17.7262       0.0    top       THD
L52           SK6812MINI_LED      YS-SK6812MINI-E               -54.4500   3.6162     -51.9500   4.3662        0.0    top       THD
SW31          SW_Push             CherryMX_Hotswap              -330.0250  111.0250   -337.1100  113.5650      0.0    top       THD
SW47          SW_Push             CherryMX_Hotswap              -282.8250  161.4250   -289.9100  163.9650      0.0    top       THD
L57           SK6812MINI_LED      YS-SK6812MINI-E               -54.1400   8.2762     -51.6400   9.0262        0.0    top       THD
SW64          SW_Push             CherryMX_Hotswap              -343.4250  222.0250   -350.5100  224.5650      0.0    top       THD
SW18          SW_Push             CherryMX_Hotswap              -327.8250  242.2250   -334.9100  244.7650      0.0    top       THD
SW13          SW_Push             CherryMX_Hotswap              -176.4250  181.7250   -183.5100  184.2650      0.0    top       THD
L39           SK6812MINI_LED      YS-SK6812MINI-E               34.8100    98.7862    37.3100    99.5362       0.0    top       THD
L19           SK6812MINI_LED      YS-SK6812MINI-E               -25.5000   33.8162    -23.0000   34.5662       0.0    top       THD
SW42          SW_Push             CherryMX_Hotswap              -282.8250  181.6250   -289.9100  184.1650      0.0    top       THD
L14           SK6812MINI_LED      YS-SK6812MINI-E               -54.1400   17.5962    -51.6400   18.3462       0.0    top       THD
L3            SK6812MINI_LED      YS-SK6812MINI-E               -90.2000   -29.8938   -87.7000   -29.1438      0.0    top       THD
L24           SK6812MINI_LED      YS-SK6812MINI-E               16.2600    83.2462    18.7600    83.9962       0.0    top       THD
L54           SK6812MINI_LED      YS-SK6812MINI-E               -81.4500   -24.0938   -78.9500   -23.3438      0.0    top       THD
SW35          SW_Push             CherryMX_Hotswap              -363.6250  222.0250   -370.7100  224.5650      0.0    top       THD
L8            SK6812MINI_LED      YS-SK6812MINI-E               -64.0500   -7.8838    -61.5500   -7.1338       0.0    top       THD
L22           SK6812MINI_LED      YS-SK6812MINI-E               51.7800    109.3762   54.2800    110.1262      0.0    top       THD
SW32          SW_Push             CherryMX_Hotswap              -307.6250  242.2250   -314.7100  244.7650      0.0    top       THD
L49           SK6812MINI_LED      YS-SK6812MINI-E               -74.3400   -11.9238   -71.8400   -11.1738      0.0    top       THD
J1            OLED                PinHeader_1x04_P2.54mm_Vert.. -114.1000  -22.9688   -114.1000  -22.9688      0.0    top       THD
SW26          SW_Push             CherryMX_Hotswap              -383.8250  182.7250   -390.9100  185.2650      0.0    top       THD
SW58          SW_Push             CherryMX_Hotswap              -176.4250  222.1250   -183.5100  224.6650      0.0    top       THD
L31           SK6812MINI_LED      YS-SK6812MINI-E               34.8100    103.4462   37.3100    104.1962      0.0    top       THD
SW12          SW_Push             CherryMX_Hotswap              -309.8250  70.6250    -316.9100  73.1650       0.0    top       THD
SW15          SW_Push             CherryMX_Hotswap              -216.8250  201.9250   -223.9100  204.4650      0.0    top       THD
L50           SK6812MINI_LED      YS-SK6812MINI-E               -94.8500   -34.5538   -92.3500   -33.8038      0.0    top       THD
SW67          SW_Push             SW_Tactile_SPST_Angled_MJTP.. -93.4500   -4.8438    -93.4500   -4.8438       0.0    top       THD
SW57          SW_Push             CherryMX_Hotswap              -323.2250  201.8250   -330.3100  204.3650      0.0    top       THD
SW11          SW_Push             CherryMX_Hotswap              -225.2250  46.7250    -232.3100  49.2650       0.0    top       THD
SW1           SW_Push             CherryMX_Hotswap              -350.2250  70.6250    -357.3100  73.1650       0.0    top       THD
L23           SK6812MINI_LED      YS-SK6812MINI-E               -45.7000   12.3162    -43.2000   13.0662       0.0    top       THD
L36           SK6812MINI_LED      YS-SK6812MINI-E               -3.9400    60.4362    -1.4400    61.1862       0.0    top       THD
SW3           SW_Push             CherryMX_Hotswap              -383.8250  223.1250   -390.9100  225.6650      0.0    top       THD
SW50          SW_Push             CherryMX_Hotswap              -86.8250   98.3250    -93.9100   100.8650      0.0    top       THD
L34           SK6812MINI_LED      YS-SK6812MINI-E               -33.9400   30.3362    -31.4400   31.0862       0.0    top       THD
SW33          SW_Push             CherryMX_Hotswap              -303.0250  161.4250   -310.1100  163.9650      0.0    top       THD
L45           SK6812MINI_LED      YS-SK6812MINI-E               -103.2900  -34.3038   -100.7900  -33.5538      0.0    top       THD
SW4           SW_Push             CherryMX_Hotswap              -216.8250  181.7250   -223.9100  184.2650      0.0    top       THD
L11           SK6812MINI_LED      YS-SK6812MINI-E               -34.2500   25.6762    -31.7500   26.4262       0.0    top       THD
L58           SK6812MINI_LED      YS-SK6812MINI-E               52.0900    118.6962   54.5900    119.4462      0.0    top       THD
L53           SK6812MINI_LED      YS-SK6812MINI-E               -83.0900   -14.7738   -80.5900   -14.0238      0.0    top       THD
SW40          SW_Push             CherryMX_Hotswap              -216.8250  222.1250   -223.9100  224.6650      0.0    top       THD
SW41          SW_Push             CherryMX_Hotswap              -323.2250  161.4250   -330.3100  163.9650      0.0    top       THD
L32           SK6812MINI_LED      YS-SK6812MINI-E               -25.1900   38.4762    -22.6900   39.2262       0.0    top       THD
SW24          SW_Push             CherryMX_Hotswap              -200.2250  72.7250    -207.3100  75.2650       0.0    top       THD
L60           SK6812MINI_LED      YS-SK6812MINI-E               43.3400    112.8962   45.8400    113.6462      0.0    top       THD
L63           SK6812MINI_LED      YS-SK6812MINI-E               -62.8900   6.0962     -60.3900   6.8462        0.0    top       THD
SW39          SW_Push             CherryMX_Hotswap              -221.4250  242.3250   -228.5100  244.8650      0.0    top       THD
SW52          SW_Push             CherryMX_Hotswap              -323.2250  181.6250   -330.3100  184.1650      0.0    top       THD
L18           SK6812MINI_LED      YS-SK6812MINI-E               -12.6900   56.3962    -10.1900   57.1462       0.0    top       THD
ENC2          Rotary_Encoder_Sw.. RotaryEncoder_EC11            12.6500    92.9312    0.0000     0.0000        0.0    top       THD
L20           SK6812MINI_LED      YS-SK6812MINI-E               -14.0500   42.4162    -11.5500   43.1662       0.0    top       THD
L10           SK6812MINI_LED      YS-SK6812MINI-E               13.2500    68.1262    15.7500    68.8762       0.0    top       THD
L47           SK6812MINI_LED      YS-SK6812MINI-E               -72.4900   -2.6038    -69.9900   -1.8538       0.0    top       THD
SW61          SW_Push             CherryMX_Hotswap              -165.7250  118.9250   -172.8100  121.4650      0.0    top       THD
SW43          SW_Push             CherryMX_Hotswap              -348.0250  242.2250   -355.1100  244.7650      0.0    top       THD
