### Module positions - created on 2022-05-02 10:06
### Printed by pcb_positions plugin
## Unit = mm, Angle = deg.
## Pcb Height 262.302mm, Pcb Width 344.834mm [based on Edge bounding box]
## Side : top
## Board Aux Origin: 0.000mm ,0.000mm
# Ref         Val                 Package                       PosX       PosY       Pin1_PosX  Pin1_PosY    Rot     Side      Type
D17           1N4148              D3_hybrid_common_hole_conne.. 4.3250     80.9562    4.3250     80.9562       0.0    top       VIRTUAL
HM3           CaseHole            spacer_m2                     -77.8850   -29.3438   0.0000     0.0000        0.0    top       VIRTUAL
HM12          CaseHole            spacer_m2                     -74.7450   -22.4738   0.0000     0.0000        0.0    top       VIRTUAL
D12           1N4148              D3_hybrid_common_hole_conne.. 22.8750    101.1562   22.8750    101.1562      0.0    top       VIRTUAL
D23           1N4148              D3_hybrid_common_hole_conne.. -198.7250  -42.2938   -198.7250  -42.2938      0.0    top       VIRTUAL
D30           1N4148              D3_hybrid_common_hole_conne.. -45.8750   35.6062    -45.8750   35.6062       0.0    top       VIRTUAL
HM15          CaseHole            spacer_m2                     50.0450    104.1262   0.0000     0.0000        0.0    top       VIRTUAL
D7            1N4148              D3_hybrid_common_hole_conne.. -128.7250  -42.2938   -128.7250  -42.2938      0.0    top       VIRTUAL
HM9           CaseHole            spacer_m2                     41.5150    93.6662    0.0000     0.0000        0.0    top       VIRTUAL
D3            1N4148              D3_hybrid_common_hole_conne.. -110.5750  -24.9938   -110.5750  -24.9938      0.0    top       VIRTUAL
D51           1N4148              D3_hybrid_common_hole_conne.. -146.2250  -42.2938   -146.2250  -42.2938      0.0    top       VIRTUAL
D1            1N4148              D3_hybrid_common_hole_conne.. -54.6250   26.9062    -54.6250   26.9062       0.0    top       VIRTUAL
D6            1N4148              D3_hybrid_common_hole_conne.. -74.8250   6.7062     -74.8250   6.7062        0.0    top       VIRTUAL
D40           1N4148              D3_hybrid_common_hole_conne.. -74.8250   3.8062     -74.8250   3.8062        0.0    top       VIRTUAL
D46           1N4148              D3_hybrid_common_hole_conne.. -84.4250   -1.8938    -84.4250   -1.8938       0.0    top       VIRTUAL
D14           1N4148              D3_hybrid_common_hole_conne.. -74.8250   18.3062    -74.8250   18.3062       0.0    top       VIRTUAL
D42           1N4148              D3_hybrid_common_hole_conne.. -74.8250   9.6062     -74.8250   9.6062        0.0    top       VIRTUAL
D49           1N4148              D3_hybrid_common_hole_conne.. 21.6050    104.0562   21.6050    104.0562      0.0    top       VIRTUAL
D43           1N4148              D3_hybrid_common_hole_conne.. -66.0750   9.6062     -66.0750   9.6062        0.0    top       VIRTUAL
HM2           CaseHole            spacer_m2                     -7.3450    45.2262    0.0000     0.0000        0.0    top       VIRTUAL
HM16          CaseHole            spacer_m2                     11.5150    62.8762    0.0000     0.0000        0.0    top       VIRTUAL
D16           1N4148              D3_hybrid_common_hole_conne.. -84.4250   -4.7938    -84.4250   -4.7938       0.0    top       VIRTUAL
D15           1N4148              D3_hybrid_common_hole_conne.. -110.5750  -27.8938   -110.5750  -27.8938      0.0    top       VIRTUAL
